Name,Projected_Points_Model,projected_points,injuryStatus,lineupSlot
Kyler Murray,22.162399999999987,17.61,ACTIVE,QB
Travis Etienne Jr.,21.46300000000001,16.1,ACTIVE,RB
Joe Flacco,20.624999999999986,6.36,ACTIVE,QB
Jayden Daniels,20.056600000000014,17.06,ACTIVE,QB
Geno Smith,19.434799999999985,16.22,ACTIVE,QB
Lamar Jackson,19.1886,20.26,ACTIVE,QB
Justin Fields,18.469000000000005,17.93,ACTIVE,QB
Rachaad White,18.32800000000001,16.09,ACTIVE,RB
Anthony Richardson,18.308799999999998,18.39,ACTIVE,QB
Justin Jefferson,18.247999999999987,18.81,ACTIVE,WR
Saquon Barkley,17.686,18.03,ACTIVE,RB
Nico Collins,17.638999999999996,15.31,ACTIVE,WR
Derek Carr,17.608199999999997,14.58,ACTIVE,QB
Jalen Hurts,17.443800000000003,20.95,ACTIVE,QB
Tony Pollard,17.405000000000012,12.34,ACTIVE,RB
Jared Goff,17.34299999999998,15.66,ACTIVE,QB
CeeDee Lamb,17.296999999999997,21.12,ACTIVE,WR
Josh Allen,17.164599999999993,20.91,ACTIVE,QB
Tyson Bagent,17.047200000000014,8.1,ACTIVE,QB
Bryce Young,16.960000000000004,14.91,ACTIVE,QB
Matthew Stafford,16.725999999999992,16.03,ACTIVE,QB
Patrick Mahomes,16.573200000000014,20.51,ACTIVE,QB
Brock Bowers,16.550000000000004,9.6,ACTIVE,TE
Baker Mayfield,16.492199999999993,16.36,ACTIVE,QB
Joe Burrow,16.2012,18.58,ACTIVE,QB
Stefon Diggs,16.134000000000015,15.12,ACTIVE,WR
Bijan Robinson,16.088,20.91,ACTIVE,RB
Rhamondre Stevenson,15.939,13.71,ACTIVE,RB
Kyren Williams,15.868000000000004,16.63,ACTIVE,RB
Deshaun Watson,15.851200000000008,17.24,ACTIVE,QB
Mike Williams,15.730000000000008,11.65,ACTIVE,WR
Breece Hall,15.725000000000016,20.67,ACTIVE,RB
Trevor Lawrence,15.699999999999996,16.61,ACTIVE,QB
Rome Odunze,15.68900000000001,11.68,ACTIVE,WR
James Cook,15.653999999999995,15.85,ACTIVE,RB
Tyreek Hill,15.631000000000002,19.93,ACTIVE,WR
Will Levis,15.530999999999995,15.3,ACTIVE,QB
Brock Purdy,15.351000000000004,17.29,ACTIVE,QB
Josh Jacobs,15.292999999999996,15.46,ACTIVE,RB
Xavier Worthy,15.165000000000003,11.75,ACTIVE,WR
Jake Browning,15.036400000000004,9.32,ACTIVE,QB
Nick Mullens,14.877200000000006,14.64,ACTIVE,QB
Kirk Cousins,14.851000000000008,16.73,ACTIVE,QB
Chris Olave,14.392999999999995,16.38,ACTIVE,WR
Rashee Rice,14.371999999999996,14.95,ACTIVE,WR
Tyler Lockett,14.332999999999984,12.17,ACTIVE,WR
Davante Adams,14.184999999999993,15.6,ACTIVE,WR
Jimmy Garoppolo,14.133800000000006,8.24,ACTIVE,QB
Noah Brown,14.062000000000003,4.97,ACTIVE,WR
David Montgomery,13.989999999999995,12.67,ACTIVE,RB
Gardner Minshew,13.819600000000005,14.26,ACTIVE,QB
Gerald Everett,13.798,4.32,ACTIVE,TE
Jahmyr Gibbs,13.735999999999992,17.04,ACTIVE,RB
De'Von Achane,13.638,15.08,ACTIVE,RB
Derrick Henry,13.60599999999999,16.07,ACTIVE,RB
Taylor Heinicke,13.243799999999997,8.35,ACTIVE,QB
Christian Watson,13.216999999999993,12.57,ACTIVE,WR
Garrett Wilson,13.207000000000008,16.77,ACTIVE,WR
C.J. Stroud,13.202199999999989,18.44,ACTIVE,QB
Aidan O'Connell,13.187400000000007,14.14,ACTIVE,QB
Dak Prescott,13.090999999999992,18.44,ACTIVE,QB
Tyjae Spears,13.060000000000008,12.53,ACTIVE,RB
Sam Howell,13.029399999999994,8.24,ACTIVE,QB
Curtis Samuel,12.980000000000002,11.1,ACTIVE,WR
Terry McLaurin,12.845000000000002,12.9,ACTIVE,WR
Mike Evans,12.826000000000004,15.69,ACTIVE,WR
J.K. Dobbins,12.760000000000002,11.96,ACTIVE,RB
Joshua Dobbs,12.7042,8.47,ACTIVE,QB
Ezekiel Elliott,12.661,11.46,ACTIVE,RB
James Conner,12.591000000000003,13.68,ACTIVE,RB
Khalil Herbert,12.442000000000002,7.48,ACTIVE,RB
DJ Moore,12.326999999999998,14.91,ACTIVE,WR
Mason Rudolph,12.214800000000002,7.22,ACTIVE,QB
Zay Flowers,12.102000000000006,14.43,ACTIVE,WR
Chris Godwin,12.016999999999998,14.27,ACTIVE,WR
Hunter Henry,11.952000000000005,7.4,ACTIVE,TE
Jameson Williams,11.908,10.78,ACTIVE,WR
Diontae Johnson,11.726999999999999,13.9,ACTIVE,WR
Malik Nabers,11.687999999999997,14.84,ACTIVE,WR
Brian Robinson Jr.,11.588000000000005,12.77,ACTIVE,RB
Wan'Dale Robinson,11.585,8.91,ACTIVE,WR
Antonio Gibson,11.51100000000001,10.91,ACTIVE,RB
Rashid Shaheed,11.503000000000002,10.6,ACTIVE,WR
Chuba Hubbard,11.456,9.73,ACTIVE,RB
Robert Woods,11.447000000000003,0.9,ACTIVE,WR
Michael Pittman Jr.,11.258000000000008,15.39,ACTIVE,WR
Zack Moss,11.24200000000001,11.09,ACTIVE,RB
Tyler Allgeier,11.231999999999998,10.09,ACTIVE,RB
Brandon Aiyuk,11.23,14.83,ACTIVE,WR
D'Andre Swift,11.18800000000001,12.91,ACTIVE,RB
Calvin Ridley,11.185999999999993,14.63,ACTIVE,WR
DK Metcalf,11.141999999999998,14.99,ACTIVE,WR
DeAndre Hopkins,10.991,12.7,ACTIVE,WR
Kenny Pickett,10.970000000000004,8.03,ACTIVE,QB
Daniel Jones,10.857999999999995,16.1,ACTIVE,QB
Jonathan Mingo,10.654000000000007,5.62,ACTIVE,WR
Gabe Davis,10.593000000000002,11.39,ACTIVE,WR
Jaxon Smith-Njigba,10.495,12.76,ACTIVE,WR
Tyrod Taylor,10.476999999999999,8.03,ACTIVE,QB
Javonte Williams,10.364000000000006,13.23,ACTIVE,RB
Aaron Jones,10.348999999999997,13.57,ACTIVE,RB
Alexander Mattison,10.026999999999997,6.63,ACTIVE,RB
Jaylen Waddle,9.962,14.61,ACTIVE,WR
Drew Lock,9.850200000000005,7.47,ACTIVE,QB
Tee Higgins,9.731000000000002,14.43,ACTIVE,WR
Nick Westbrook-Ikhine,9.721999999999996,1.59,ACTIVE,WR
Drake London,9.653999999999998,15.04,ACTIVE,WR
Jakobi Meyers,9.643999999999998,11.68,ACTIVE,WR
Kylen Granson,9.540000000000004,5.53,ACTIVE,TE
Najee Harris,9.505999999999991,12.5,ACTIVE,RB
Jerry Jeudy,9.489999999999993,11.78,ACTIVE,WR
Pat Freiermuth,9.477000000000002,9.21,ACTIVE,TE
Mark Andrews,9.439000000000005,12.55,ACTIVE,TE
Cole Kmet,9.397000000000004,7.58,ACTIVE,TE
Dontayvion Wicks,9.25499999999999,8.39,ACTIVE,WR
Kyle Pitts,9.235999999999999,11.14,ACTIVE,TE
Tyler Boyd,9.138000000000003,8.8,ACTIVE,WR
Romeo Doubs,8.799000000000001,9.01,ACTIVE,WR
Zach Ertz,8.545999999999998,4.93,ACTIVE,TE
Amon-Ra St. Brown,8.535999999999996,18.93,ACTIVE,WR
Travis Kelce,8.535000000000009,13.94,ACTIVE,TE
Brandin Cooks,8.525000000000006,10.37,ACTIVE,WR
Tyler Conklin,8.487000000000004,8.56,ACTIVE,TE
George Pickens,8.486999999999991,13.93,ACTIVE,WR
Courtland Sutton,8.452,12.64,ACTIVE,WR
Dalton Kincaid,8.430999999999997,11.48,ACTIVE,TE
Luke Musgrave,8.398000000000001,5.38,ACTIVE,TE
Brian Thomas Jr.,8.386999999999995,11.44,ACTIVE,WR
Dallas Goedert,8.378999999999996,10.14,ACTIVE,TE
Jahan Dotson,8.37600000000001,4.95,ACTIVE,WR
Zach Charbonnet,8.272,10.0,ACTIVE,RB
Dalton Schultz,8.235000000000001,8.88,ACTIVE,TE
K.J. Osborn,8.081999999999999,2.05,ACTIVE,WR
Marvin Harrison Jr.,8.001999999999999,15.2,ACTIVE,WR
Gus Edwards,8.001999999999999,10.22,ACTIVE,RB
Jonathan Taylor,7.988999999999993,18.34,ACTIVE,RB
Trey Palmer,7.973000000000002,6.98,ACTIVE,WR
Jacoby Brissett,7.9575999999999985,6.66,ACTIVE,QB
Josh Downs,7.921999999999998,8.56,ACTIVE,WR
Elijah Moore,7.782,4.8,ACTIVE,WR
Jaleel McLaughlin,7.542000000000005,9.84,ACTIVE,RB
Jonnu Smith,7.463000000000001,5.56,ACTIVE,TE
Davis Mills,7.400999999999994,8.16,ACTIVE,QB
Juwan Johnson,7.2639999999999985,8.0,ACTIVE,TE
Alec Pierce,7.230999999999998,3.44,ACTIVE,WR
Emari Demercado,7.188999999999998,3.22,ACTIVE,RB
Greg Dortch,7.141000000000004,5.0,ACTIVE,WR
Tutu Atwell,7.125999999999998,3.74,ACTIVE,WR
Ladd McConkey,7.091999999999998,11.89,ACTIVE,WR
Justin Watson,6.848000000000001,3.11,ACTIVE,WR
Devin Singletary,6.802000000000004,12.02,ACTIVE,RB
Laviska Shenault Jr.,6.628000000000001,1.7,ACTIVE,WR
Ty Chandler,6.591000000000001,9.79,ACTIVE,RB
Quentin Johnston,6.516999999999997,7.35,ACTIVE,WR
Darnell Mooney,6.512000000000004,11.6,ACTIVE,WR
Tommy Tremble,6.428999999999998,4.68,ACTIVE,TE
Michael Wilson,6.349999999999999,9.47,ACTIVE,WR
Braelon Allen,6.338000000000003,5.39,ACTIVE,RB
Andy Dalton,6.249000000000002,7.2,ACTIVE,QB
Demarcus Robinson,6.188,10.19,ACTIVE,WR
Roschon Johnson,6.130000000000003,4.08,ACTIVE,RB
Noah Gray,6.074,4.74,ACTIVE,TE
Christian Kirk,5.847999999999996,13.7,ACTIVE,WR
Cade Otton,5.843000000000001,7.31,ACTIVE,TE
Brandon Powell,5.715999999999999,2.08,ACTIVE,WR
Khalil Shakir,5.712999999999999,10.25,ACTIVE,WR
Samaje Perine,5.655000000000004,3.96,ACTIVE,RB
JuJu Smith-Schuster,5.626,1.28,ACTIVE,WR
Isaiah Likely,5.583000000000007,9.46,ACTIVE,TE
Drew Sample,5.561999999999997,1.98,ACTIVE,TE
Lucas Krull,5.561000000000002,1.81,ACTIVE,TE
Dawson Knox,5.547000000000002,5.49,ACTIVE,TE
D'Onta Foreman,5.441,5.51,ACTIVE,RB
Foster Moreau,5.425999999999999,2.78,ACTIVE,TE
Cordarrelle Patterson,5.369000000000001,3.44,ACTIVE,RB
Rashod Bateman,5.263999999999995,7.55,ACTIVE,WR
Marvin Mims Jr.,5.173000000000003,7.56,ACTIVE,WR
Chase Brown,5.140999999999999,11.93,ACTIVE,RB
Jalen Tolbert,5.128000000000004,8.06,ACTIVE,WR
Bo Melton,5.0329999999999995,1.84,ACTIVE,WR
Jake Ferguson,4.9510000000000005,11.05,ACTIVE,TE
Justice Hill,4.897999999999999,6.36,ACTIVE,RB
Ty Johnson,4.843000000000002,5.21,ACTIVE,RB
Cedric Tillman,4.835000000000001,5.25,ACTIVE,WR
Miles Sanders,4.819000000000004,6.18,ACTIVE,RB
Mack Hollins,4.7799999999999985,1.83,ACTIVE,WR
Cooper Rush,4.728999999999999,8.61,ACTIVE,QB
Keon Coleman,4.6549999999999985,11.33,ACTIVE,WR
Kalif Raymond,4.584999999999996,5.59,ACTIVE,WR
Cedrick Wilson Jr.,4.5079999999999965,3.23,ACTIVE,WR
Josh Whyle,4.502000000000001,2.62,ACTIVE,TE
Treylon Burks,4.491999999999997,3.9,ACTIVE,WR
Allen Lazard,4.470000000000004,3.41,ACTIVE,WR
Jeremy Ruckert,4.4689999999999985,3.85,ACTIVE,TE
Jameis Winston,4.461999999999996,7.06,ACTIVE,QB
Tre Tucker,4.435999999999996,8.41,ACTIVE,WR
Kenneth Gainwell,4.426000000000002,5.51,ACTIVE,RB
Cam Akers,4.385000000000001,1.77,ACTIVE,RB
Tyler Goodson,4.382000000000001,3.18,ACTIVE,RB
Michael Mayer,4.3409999999999975,4.19,ACTIVE,TE
Malik Willis,4.319000000000001,16.69,ACTIVE,QB
Pharaoh Brown,4.284999999999998,1.86,ACTIVE,TE
Sam Darnold,4.267999999999998,14.81,ACTIVE,QB
Mac Jones,4.252000000000004,7.74,ACTIVE,QB
Israel Abanikanda,4.201000000000001,1.81,ACTIVE,RB
Parker Washington,4.142999999999997,0.64,ACTIVE,WR
David Moore,4.112,1.82,ACTIVE,WR
Skyy Moore,4.097000000000001,1.92,ACTIVE,WR
Luke Farrell,4.090000000000002,1.88,ACTIVE,TE
Adam Trautman,4.073999999999999,3.08,ACTIVE,TE
Xavier Gipson,4.073999999999996,4.63,ACTIVE,WR
Durham Smythe,4.072999999999999,2.49,ACTIVE,TE
Taysom Hill,4.025999999999999,8.38,ACTIVE,TE
Raheem Blackshear,3.9910000000000014,1.08,ACTIVE,RB
Tyquan Thornton,3.839999999999998,3.37,ACTIVE,WR
Bucky Irving,3.8059999999999987,8.01,ACTIVE,RB
Carson Steele,3.7710000000000004,1.36,ACTIVE,RB
Josh Oliver,3.7289999999999988,3.1,ACTIVE,TE
Hayden Hurst,3.721999999999998,6.66,ACTIVE,TE
KaVontae Turpin,3.674,4.09,ACTIVE,WR
Mike Gesicki,3.630999999999998,5.28,ACTIVE,TE
Zamir White,3.625,13.04,ACTIVE,RB
Calvin Austin III,3.5699999999999976,4.26,ACTIVE,WR
Ameer Abdullah,3.521999999999998,2.85,ACTIVE,RB
Marcedes Lewis,3.469000000000002,0.65,ACTIVE,TE
Jeff Wilson Jr.,3.395999999999999,1.17,ACTIVE,RB
Clayton Tune,3.3869999999999987,7.44,ACTIVE,QB
Johnny Mundt,3.317000000000001,3.58,ACTIVE,TE
Jamaal Williams,3.315000000000004,6.8,ACTIVE,RB
Ronnie Rivers,3.2650000000000006,1.82,ACTIVE,RB
Eric Saubert,3.2020000000000004,1.13,ACTIVE,TE
Greg Dulcich,3.1649999999999996,4.7,ACTIVE,TE
Jake Bobo,3.1310000000000024,2.42,ACTIVE,WR
Malik Heath,3.1289999999999982,0.63,ACTIVE,WR
Emanuel Wilson,3.066000000000001,3.11,ACTIVE,RB
Scotty Miller,2.926,1.16,ACTIVE,WR
D'Ernest Johnson,2.9130000000000003,3.44,ACTIVE,RB
Stone Smartt,2.8960000000000012,2.41,ACTIVE,TE
Rico Dowdle,2.8810000000000016,10.61,ACTIVE,RB
KhaDarel Hodge,2.8610000000000015,4.63,ACTIVE,WR
Connor Heyward,2.841,2.79,ACTIVE,TE
Charlie Jones,2.7869999999999995,1.01,ACTIVE,WR
Chris Moore,2.756,0.89,ACTIVE,WR
Marquez Valdes-Scantling,2.7319999999999993,1.85,ACTIVE,WR
Jalin Hyatt,2.7110000000000003,9.09,ACTIVE,WR
Payne Durham,2.5940000000000003,1.63,ACTIVE,TE
Jauan Jennings,2.594,4.88,ACTIVE,WR
Elijah Higgins,2.5779999999999985,2.35,ACTIVE,TE
Daniel Bellinger,2.576000000000001,2.99,ACTIVE,TE
Ray-Ray McCloud III,2.5670000000000015,6.69,ACTIVE,WR
Jamison Crowder,2.508,1.13,ACTIVE,WR
Nelson Agholor,2.492,3.66,ACTIVE,WR
Dare Ogunbowale,2.457000000000002,2.16,ACTIVE,RB
Kyle Juszczyk,2.4569999999999994,2.05,ACTIVE,RB
Dyami Brown,2.446000000000001,4.66,ACTIVE,WR
Jordan Mason,2.4410000000000003,6.35,ACTIVE,RB
Noah Fant,2.4289999999999994,6.82,ACTIVE,TE
Velus Jones Jr.,2.353000000000002,0.5,ACTIVE,WR
Van Jefferson,2.3449999999999998,5.3,ACTIVE,WR
Austin Hooper,2.329,3.83,ACTIVE,TE
Alec Ingold,2.312,1.8,ACTIVE,RB
Will Mallory,2.2279999999999993,2.22,ACTIVE,TE
Kayshon Boutte,2.148,0.34,ACTIVE,WR
Peyton Hendershot,2.1409999999999987,0.72,ACTIVE,TE
Braxton Berrios,2.1279999999999983,2.48,ACTIVE,WR
Luke Schoonmaker,2.1150000000000015,2.86,ACTIVE,TE
Will Dissly,2.097999999999999,4.35,ACTIVE,TE
Craig Reynolds,2.0850000000000004,2.24,ACTIVE,RB
Trishton Jackson,2.0379999999999994,0.58,ACTIVE,WR
Deuce Vaughn,1.9100000000000008,3.52,ACTIVE,RB
Zach Pascal,1.8999666666666668,1.01,ACTIVE,WR
Ronnie Bell,1.8989999999999996,0.41,ACTIVE,WR
Jalen Nailor,1.8979999999999981,2.96,ACTIVE,WR
Derius Davis,1.8780000000000014,2.44,ACTIVE,WR
Xavier Hutchinson,1.8460000000000008,0.42,ACTIVE,WR
Trenton Irwin,1.801,3.82,ACTIVE,WR
Harrison Bryant,1.7959999999999983,1.22,ACTIVE,TE
John Metchie III,1.7139999999999997,3.23,ACTIVE,WR
Tim Jones,1.713,0.58,ACTIVE,WR
Tyler Scott,1.7110000000000003,0.79,ACTIVE,WR
Hunter Luepke,1.6630000000000005,0.84,ACTIVE,RB
Jordan Akins,1.6462727272727264,3.63,ACTIVE,TE
Darnell Washington,1.6039999999999999,2.26,ACTIVE,TE
C.J. Ham,1.5809999999999997,0.66,ACTIVE,RB
Brock Wright,1.5652727272727267,2.6,ACTIVE,TE
Patrick Ricard,1.555,0.54,ACTIVE,RB
Jalen Brooks,1.5389999999999984,1.07,ACTIVE,WR
Andrei Iosivas,1.4709999999999996,7.13,ACTIVE,WR
Simi Fehoko,1.436,0.66,ACTIVE,WR
Trayveon Williams,1.4290000000000007,3.13,ACTIVE,RB
Deonte Harty,1.3820000000000001,1.29,ACTIVE,WR
Julian Hill,1.341,0.32,ACTIVE,TE
Ko Kieft,1.3349999999999997,1.25,ACTIVE,TE
Grant Calcaterra,1.3209999999999997,1.73,ACTIVE,TE
Steven Sims,1.298,0.12,ACTIVE,WR
Drew Ogletree,1.2790000000000001,2.29,ACTIVE,TE
DeeJay Dallas,1.2140000000000004,0.54,ACTIVE,RB
John Bates,1.2080000000000006,1.13,ACTIVE,TE
Olamide Zaccheaus,1.204,4.01,ACTIVE,WR
Charlie Woerner,1.1429999999999996,1.32,ACTIVE,TE
Tank Bigsby,1.1299999999999997,5.31,ACTIVE,RB
Ross Dwelley,1.0802523809523812,0.71,ACTIVE,TE
Colby Parkinson,1.0270000000000001,5.32,ACTIVE,TE
Harrison Butker,1.0126749977566443,8.62,ACTIVE,K
Parker Hesse,1.0126749977566443,0.64,ACTIVE,TE
Brady Russell,1.0126749977566443,0.37,ACTIVE,TE
Myles Gaskin,1.0126749977566443,1.78,ACTIVE,RB
Cameron Dicker,1.0126749977566443,8.14,ACTIVE,K
Carson Wentz,1.0126749977566443,9.13,ACTIVE,QB
Jarrett Stidham,1.0126749977566443,7.08,ACTIVE,QB
DJ Turner,1.0126749977566443,0.87,ACTIVE,WR
Jeremy McNichols,1.0126749977566443,2.87,ACTIVE,RB
Aaron Rodgers,1.0126749977566443,17.68,ACTIVE,QB
Chris Conley,1.0126749977566443,0.92,ACTIVE,WR
Kenny McIntosh,1.0126749977566443,2.49,ACTIVE,RB
Ka'imi Fairbairn,1.0126749977566443,8.26,ACTIVE,K
Jordan Matthews,1.0126749977566443,0.9,ACTIVE,TE
Jordan Mims,1.0126749977566443,1.24,ACTIVE,RB
Justin Tucker,1.0126749977566443,8.35,ACTIVE,K
Julius Chestnut,1.0126749977566443,2.68,ACTIVE,RB
Jake Moody,1.0126749977566443,8.15,ACTIVE,K
Nick Vannett,1.0126749977566443,0.32,ACTIVE,TE
Tylan Wallace,1.0126749977566443,0.52,ACTIVE,WR
Brandon Aubrey,1.0126749977566443,8.36,ACTIVE,K
Blake Grupe,1.0126749977566443,7.38,ACTIVE,K
Greg Zuerlein,1.0126749977566443,8.29,ACTIVE,K
Tanner Conner,1.0126749977566443,0.32,ACTIVE,TE
Hunter Long,1.0126749977566443,0.73,ACTIVE,TE
Irvin Charles,1.0126749977566443,0.66,ACTIVE,WR
Evan McPherson,1.0126749977566443,8.17,ACTIVE,K
Dareke Young,1.0126749977566443,0.61,ACTIVE,WR
Jake Elliott,1.0126749977566443,8.44,ACTIVE,K
Ben Sims,0.9629999999999996,0.64,ACTIVE,TE
Mo Alie-Cox,0.9420000000000001,1.9,ACTIVE,TE
Brenton Strange,0.9410000000000005,1.92,ACTIVE,TE
Kyle Trask,0.8012163025420539,7.9,ACTIVE,QB
DeAndre Carter,0.7959999999999999,0.37,ACTIVE,WR
Charlie Kolar,0.6259999999999999,0.58,ACTIVE,TE
Eric Gray,0.625,4.08,ACTIVE,RB
Chris Manhertz,0.554,0.59,ACTIVE,TE
Quintin Morris,0.54,0.67,ACTIVE,TE
Devin Duvernay,0.521,2.14,ACTIVE,WR
Trey Sermon,0.4869999999999999,4.26,ACTIVE,RB
Sean Tucker,0.28525000000000006,2.17,ACTIVE,RB
Adam Prentice,0.22699999999999992,0.78,ACTIVE,RB
JaMycal Hasty,0.10473809523809524,2.92,ACTIVE,RB
